@relation markSix

@attribute A1 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}			
@attribute A2 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A3 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A4 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A5 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A7 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	

@data
8,14,25,27,36,38,44
15,22,25,26,35,47,19
7,8,16,31,35,45,32
6,12,18,22,25,38,35
8,17,27,31,36,43,11
22,35,39,41,46,47,27
7,8,31,32,33,46,45
16,19,26,43,44,47,21
2,5,7,13,30,33,26
4,7,29,35,45,46,8
1,5,11,14,17,18,26
8,18,26,42,44,47,32
6,14,27,29,33,44,24
7,10,21,35,41,42,38
4,6,20,29,30,36,27
11,12,13,26,28,43,34
11,17,25,31,38,40,5
8,11,25,28,29,42,34
13,16,31,34,36,45,40
5,15,24,37,41,44,22
7,15,16,24,44,47,22
9,13,16,29,31,32,10
18,21,23,24,28,39,6
2,6,12,18,19,31,14
4,13,20,29,35,37,34
2,12,18,27,36,38,15
5,6,21,24,43,45,33
5,17,26,32,44,46,38
4,15,17,38,42,47,25
19,22,24,28,30,34,36
1,8,12,15,38,42,31
4,10,30,43,45,46,27
6,14,17,18,34,47,12
14,15,17,28,41,44,35
2,19,30,42,44,46,33
7,15,23,25,32,34,6
1,16,27,30,37,41,42
6,17,23,33,36,39,9
7,18,26,31,33,36,6
3,7,8,28,33,41,46
3,13,41,44,45,47,9
6,7,23,28,45,47,30
2,7,8,9,17,29,24
13,15,21,27,40,45,46
5,9,19,25,27,47,44
5,9,10,18,28,38,4
6,9,20,21,30,35,13
1,30,31,32,37,42,17
2,8,30,33,36,42,34
3,13,20,29,35,42,23
19,20,28,38,43,44,35
10,14,16,26,29,40,21
12,24,30,31,32,41,28
1,9,26,43,45,46,38
4,16,19,39,46,47,38
3,14,15,21,23,31,38
1,3,5,9,20,31,15
24,31,33,39,40,47,3
8,14,15,17,33,39,6
10,17,28,33,38,46,41
3,5,10,12,31,39,40
13,25,27,36,40,45,12
8,30,32,36,37,38,10
10,25,27,28,39,47,13
1,5,18,19,25,44,14
8,21,23,25,31,36,11
6,21,24,27,35,39,44
1,3,11,15,23,40,22
5,22,25,33,43,47,10
10,18,26,27,39,47,23
1,8,13,18,33,47,35
4,14,17,21,36,45,10
2,29,32,42,44,47,40
2,20,21,23,28,32,4
1,7,13,17,23,42,37
4,14,25,29,38,44,23
5,28,29,31,42,46,38
12,15,18,24,29,35,14
3,6,11,14,27,28,19
10,19,25,27,31,44,40
20,21,39,40,44,45,9
10,28,32,34,42,45,23
16,17,29,30,34,39,20
2,15,18,34,38,39,13
11,12,13,14,35,44,19
8,26,35,38,40,41,4
3,8,13,23,33,41,47
4,20,25,30,35,38,15
13,18,25,28,36,44,3
3,7,16,21,34,41,32
2,13,18,33,43,44,1
2,9,12,20,41,46,25
5,20,23,28,38,45,17
8,9,15,23,32,38,36
5,6,9,11,25,40,43
24,30,33,38,41,46,8
14,15,19,41,45,46,44
3,6,7,19,27,44,43
1,12,21,22,26,32,31
4,5,8,9,18,46,37
1,11,25,35,39,46,2
19,20,29,34,41,45,37
7,17,21,24,26,46,11
22,29,31,35,36,44,3
6,19,24,28,32,47,27
4,13,24,27,39,41,34
5,6,24,33,36,45,1
7,9,28,32,33,34,46
1,8,15,19,29,36,33
17,18,20,28,31,41,21
19,30,31,39,40,41,42
21,30,35,36,40,43,22
27,28,33,36,45,46,4
14,30,33,34,39,41,9
5,6,8,19,23,42,36
6,8,9,16,17,20,36
6,18,23,26,32,33,11
6,8,22,31,36,39,30
5,13,24,25,31,33,2
12,13,25,29,32,46,18
7,10,12,15,33,36,38
10,12,14,28,32,46,31
8,11,13,19,25,42,29
3,4,13,21,29,38,34
12,16,24,27,41,46,4
4,6,8,10,12,25,16
4,13,17,28,45,46,31
19,22,23,32,44,45,3
4,6,18,23,24,46,7
3,4,16,25,31,33,36
7,12,17,27,30,33,32
15,17,18,22,30,47,8
12,19,21,26,30,39,28
1,15,30,34,37,40,33
4,9,19,23,29,44,36
1,7,11,17,18,25,44
4,15,18,19,38,40,36
5,14,20,25,39,41,16
3,15,17,30,33,46,1
1,13,15,24,38,44,28
9,15,24,29,32,34,6
6,12,15,35,38,39,47
16,20,21,24,26,28,9
15,17,23,27,31,43,6
6,7,28,29,30,45,26
22,23,24,25,32,43,39
1,14,26,27,40,42,17
9,16,22,26,30,47,10
2,4,10,16,25,43,38
3,8,9,17,34,36,38
2,9,12,18,41,44,24
22,30,32,35,38,47,11
10,17,19,26,30,44,14
13,15,37,39,42,43,22
2,3,9,33,40,41,26
1,4,9,18,19,23,45
6,7,9,14,29,33,47
4,22,24,30,33,41,5
3,11,14,26,39,44,2
5,10,11,24,31,33,36
9,10,14,34,40,44,45
3,11,22,29,34,39,46
6,9,10,23,35,36,5
5,6,16,21,25,33,19
5,34,37,39,42,43,4
4,12,14,26,27,35,25
1,4,11,22,30,39,35
10,19,24,33,35,36,39
8,16,21,24,32,44,30
5,11,23,24,39,41,3
1,2,8,9,20,47,25
4,27,38,42,43,47,19
4,21,22,37,42,45,9
10,20,35,43,45,46,28
5,12,15,30,43,44,19
3,8,11,14,24,41,30
2,9,14,26,35,39,11
6,16,18,19,29,37,25
13,20,35,38,44,45,5
1,10,24,25,43,47,34
2,11,16,29,40,46,47
5,9,18,20,41,44,14
18,21,23,28,30,32,1
9,12,14,22,29,43,8
7,12,13,17,36,42,27
8,28,29,45,46,47,13
11,18,24,30,34,37,23
4,7,10,11,21,45,38
5,9,19,32,39,45,13
9,11,13,23,30,44,32
11,18,20,26,28,47,10
3,8,9,26,31,43,23
7,19,26,36,37,42,33
8,13,20,27,37,38,45
9,19,20,28,29,35,15
1,13,18,37,39,40,34
1,14,21,36,42,46,26
14,18,26,27,33,41,35
5,7,18,19,46,47,43
4,6,28,30,36,39,10
12,15,27,36,37,46,22
3,12,15,18,23,34,42
14,33,36,37,39,44,40
7,10,25,27,33,41,19
9,10,12,18,31,37,14
1,12,13,29,37,40,32
6,24,36,37,41,45,9
5,7,10,12,18,39,45
10,11,19,23,39,44,17
1,11,14,26,39,46,18
1,13,24,29,34,47,20
3,5,15,17,34,37,40
3,20,28,37,41,42,9
8,19,25,32,41,46,27
12,16,23,27,35,38,19
14,15,19,24,32,39,47
11,23,29,33,36,45,20
1,8,14,29,33,44,5
1,20,22,33,35,45,11
2,8,14,21,26,27,24
8,19,32,37,44,45,40
4,16,19,25,34,44,33
2,8,17,20,32,46,15
13,21,25,32,33,37,20
4,5,6,21,25,27,16
9,16,21,25,32,33,38
3,12,24,33,34,45,40
1,5,9,23,30,41,4
9,26,28,33,35,46,32
1,2,13,14,21,47,42
2,24,25,32,35,45,1
9,15,31,33,38,41,44
2,4,20,21,22,39,27
7,17,21,26,40,45,37
4,11,15,28,29,40,16
2,6,7,13,22,26,35
5,18,28,31,37,45,36
1,4,8,12,29,34,18
1,10,13,14,27,35,2
4,18,31,32,37,40,15
7,20,21,22,24,34,19
2,8,10,11,15,21,7
2,10,21,28,29,44,30
1,7,14,16,18,47,40
18,24,27,28,32,36,39
2,9,14,28,45,46,15
3,8,10,12,35,37,2
5,16,20,28,31,38,15
7,18,27,36,40,43,28
7,20,27,29,32,44,33
6,12,14,19,21,29,45
7,8,9,33,36,37,12
6,13,15,24,34,44,31
8,9,15,23,27,34,36
4,14,17,36,38,47,42
16,21,28,33,39,46,3
12,18,22,28,32,38,29
4,19,31,32,41,43,30
6,7,13,16,21,46,17
6,20,21,32,38,41,33
7,9,20,21,39,43,34
1,2,6,32,34,42,41
21,28,29,30,34,39,40
2,20,31,35,39,45,24
2,3,12,30,33,36,7
3,30,37,40,41,44,19
2,8,30,35,37,44,1
1,13,20,23,33,38,3
3,12,18,24,34,43,41
9,17,31,32,37,46,27
10,21,29,31,38,41,26
1,3,9,37,38,42,2
3,6,12,18,27,30,38
12,20,25,29,40,41,11
2,3,21,25,33,46,7
13,26,27,32,40,43,41
6,10,19,29,30,36,1
3,9,14,16,36,41,43
12,20,21,29,32,47,9
11,16,32,35,38,39,12
2,11,15,32,33,41,40
2,23,27,30,39,44,26
9,12,21,29,31,33,47
1,13,16,28,38,45,17
6,9,26,31,34,44,37
14,16,31,36,42,43,39
4,11,13,27,29,35,42
10,21,28,32,40,42,45
12,17,21,35,36,43,14
3,11,13,14,18,21,22
8,10,17,24,27,38,12
18,22,29,31,37,41,13
11,15,31,32,33,43,1
1,7,8,19,30,37,16
1,6,8,17,32,47,40
12,15,27,37,44,45,33
1,9,18,21,38,45,35
7,21,26,36,41,46,13
7,10,14,21,29,30,43
2,32,34,39,40,45,20
13,19,26,33,38,46,9
8,15,18,21,39,45,28
1,8,16,23,33,40,11
24,30,36,37,39,41,14
3,7,15,19,28,29,1
7,15,26,29,34,42,22
2,4,13,22,29,42,23
11,16,22,31,34,41,35
3,7,16,21,34,45,39
1,10,12,19,24,39,3
2,6,8,32,44,45,4
11,17,18,24,32,38,5
1,10,11,19,27,37,31
3,6,13,24,31,37,27
2,15,33,34,35,44,21
12,14,22,25,27,40,24
9,12,31,36,41,43,28
7,14,35,41,44,45,27
3,10,20,30,36,38,40
2,13,16,30,39,40,15
2,5,9,15,17,44,39
3,4,5,6,37,46,9
10,20,26,31,36,40,47
5,10,13,22,35,41,34
6,12,29,32,39,44,24
11,12,19,34,35,39,8
1,3,6,17,29,34,32
32,33,36,41,42,43,17
1,9,13,30,31,47,2
7,25,29,31,36,43,34
3,8,12,13,32,42,11
4,8,15,24,41,45,28
6,22,25,26,27,45,36
1,23,25,32,43,44,30
1,5,6,31,39,46,44
9,12,25,31,43,44,5
1,11,29,33,36,44,37
11,22,24,28,29,38,20
7,13,14,20,29,32,28
9,24,25,27,36,38,41
14,19,23,36,44,46,7
10,20,26,28,35,48,13
10,20,21,33,40,44,34
5,32,34,38,39,49,8
4,26,31,33,36,38,28
3,4,23,25,31,44,35
3,7,31,32,35,47,15
22,24,28,33,36,39,41
2,7,12,19,23,49,4
1,3,8,25,43,46,21
2,6,16,26,36,41,8
10,17,36,43,45,47,33
4,23,24,25,38,40,37
7,14,26,32,41,49,12
5,28,29,31,44,46,45
5,15,26,27,28,35,2
5,10,24,32,39,49,1
9,10,11,15,19,28,37
3,7,11,22,28,36,18
7,15,24,41,47,49,25
10,12,15,17,34,42,29
1,10,34,41,47,48,19
15,19,25,34,38,44,5
5,13,19,27,29,35,40
11,23,32,33,43,48,2
8,14,16,22,37,46,36
15,22,34,40,41,47,10
10,37,40,42,43,46,30
2,3,8,22,27,28,45
8,10,14,25,43,44,41
8,12,19,22,29,41,1
1,13,18,30,32,46,19
5,7,16,37,42,44,38
1,12,14,33,36,37,13
5,9,18,25,47,48,17
5,9,20,30,32,42,2
6,10,11,32,35,46,22
17,19,26,31,37,43,38
19,21,40,42,46,47,33
4,16,18,25,29,41,21
3,15,22,23,42,47,18
2,6,14,25,45,49,42
5,8,9,26,33,38,28
6,7,29,32,42,46,1
1,3,12,23,31,48,34
10,18,19,28,40,44,24
10,14,22,34,40,43,4
1,11,18,19,39,40,42
13,18,23,24,26,33,15
6,18,39,40,41,42,9
7,15,16,23,31,35,8
5,36,37,38,46,49,17
11,21,27,31,37,44,1
9,11,14,17,24,28,46
4,5,6,7,8,28,23
5,10,25,30,41,46,48
6,14,23,27,36,38,49
16,20,21,43,44,49,6
2,34,36,39,40,42,29
7,11,13,28,32,33,20
8,17,21,22,23,49,24
9,10,12,26,38,43,15
5,6,16,23,26,27,46
4,9,12,21,25,34,36
13,19,23,28,42,45,15
1,13,16,24,41,48,35
10,16,19,20,40,49,24
4,8,12,24,39,40,18
11,22,23,28,38,40,29
4,11,18,26,31,46,16
7,12,20,27,28,43,46
9,21,22,26,37,48,35
13,23,28,30,34,42,20
13,14,21,23,39,42,36
8,10,22,23,24,35,33
2,3,20,21,43,49,32
10,20,22,31,35,39,17
15,20,35,40,45,48,30
9,32,33,38,42,44,43
19,30,37,41,47,49,3
11,14,17,20,42,47,27
7,14,26,27,31,36,43
12,18,26,34,38,45,43
9,15,27,28,37,39,33
7,11,13,23,31,33,28
6,11,13,24,40,47,42
21,29,32,38,41,43,7
12,17,30,40,43,48,18
13,16,19,31,39,47,29
1,27,28,29,31,49,6
8,14,17,23,28,43,26
6,28,39,40,43,45,42
8,29,31,32,36,38,12
9,17,20,29,34,35,18
11,20,23,29,32,33,35
7,19,30,34,37,44,48
3,8,10,19,31,35,36
14,16,18,32,44,47,2
7,9,26,29,37,40,11
2,10,21,22,37,44,47
3,4,10,24,26,47,12
3,11,18,22,24,37,49
3,14,27,31,38,44,26
10,19,26,30,32,44,29
9,27,30,33,44,48,37
2,12,21,37,47,49,11
5,15,17,18,24,47,7
2,5,6,11,20,34,32
12,14,25,30,34,35,23
18,24,26,29,30,46,39
2,6,9,14,17,29,22
5,7,10,23,31,34,38
12,16,21,24,30,39,7
1,4,5,7,9,27,21
14,17,28,31,37,43,39
24,28,29,30,42,49,47
1,6,15,21,23,33,30
1,12,13,16,36,46,49
5,6,12,20,39,47,38
15,16,17,22,25,28,12
5,6,27,28,36,41,47
7,10,21,25,37,39,9
8,14,31,33,36,42,34
9,10,18,21,36,45,6
13,16,20,30,36,47,24
2,3,6,8,25,39,38
2,11,17,18,20,27,10
6,9,18,26,33,38,29
16,17,26,28,40,42,44
2,12,17,31,37,40,1
2,22,39,41,42,45,26
16,29,31,33,36,38,4
10,18,24,27,28,38,21
2,7,9,40,41,42,28
2,13,20,22,39,49,41
2,3,9,13,31,43,10
4,5,14,18,28,31,24
2,4,13,43,48,49,24
1,5,21,28,35,41,38
7,12,21,28,31,41,3
1,4,17,26,38,44,11
10,11,17,19,39,45,15
7,21,25,42,47,49,1
7,10,15,21,30,43,8
24,25,35,41,44,47,38
14,20,26,39,40,42,12
6,27,36,38,43,49,40
9,16,30,31,32,37,24
19,23,31,40,44,47,3
17,28,33,38,42,47,34
8,23,31,33,41,47,38
4,7,10,15,19,39,22
2,3,4,14,44,46,5
7,10,15,38,45,49,22
11,13,30,39,41,48,45
18,25,31,34,35,37,5
11,14,22,24,34,48,43
25,28,29,37,44,48,43
1,4,19,28,37,49,29
5,6,14,27,28,49,42
6,9,18,22,31,41,24
4,8,12,15,23,33,36
1,22,36,38,39,47,27
5,17,19,34,42,48,44
23,24,31,33,42,44,27
11,13,33,36,37,48,46
6,13,22,29,33,42,11
1,14,19,22,31,35,34
10,15,20,31,35,48,14
2,3,8,19,25,39,49
8,12,18,23,41,48,19
1,29,30,32,41,46,8
21,22,24,27,31,42,11
10,13,18,29,40,41,4
5,6,9,28,31,32,19
3,5,19,26,32,49,1
8,9,13,31,40,48,43
30,34,39,43,48,49,6
14,26,33,39,40,43,23
7,14,17,22,29,43,36
3,31,33,36,39,49,1
1,9,14,39,45,48,3
2,3,4,8,16,18,6
7,22,24,25,40,41,1
3,6,9,14,26,40,19
7,15,20,28,38,41,37
4,13,15,28,45,49,7
9,17,21,22,31,32,4
20,22,32,37,39,44,11
12,22,29,35,43,48,38
4,10,43,45,46,48,13
9,11,21,27,37,45,30
7,10,13,21,22,23,35
4,5,17,20,28,39,3
6,21,28,36,44,49,32
2,3,4,25,36,47,8
7,10,18,23,37,39,17
14,23,33,35,36,43,37
10,21,26,30,31,42,48
9,10,26,31,35,41,42
1,19,20,34,42,43,15
8,20,33,36,46,49,18
4,19,26,30,31,34,37
7,11,15,29,46,49,21
24,30,39,43,44,48,23
8,32,36,39,44,46,33
6,9,12,19,22,25,17
23,31,34,43,45,47,48
1,23,24,30,47,49,42
9,12,17,42,47,49,34
1,7,13,32,37,48,26
3,7,13,25,31,33,45
11,12,13,22,26,31,10
3,10,20,27,40,46,9
2,16,19,24,48,49,12
14,23,27,37,40,45,39
4,18,31,40,45,47,29
10,21,23,30,43,49,3
7,8,15,27,34,49,22
9,13,21,37,40,48,12
7,11,13,22,24,37,36
8,28,33,36,38,47,2
16,21,29,37,46,47,35
3,7,9,14,25,44,45
7,21,23,29,33,44,9
3,5,6,11,13,40,45
28,34,38,41,46,48,36
5,9,18,21,28,32,7
3,7,13,20,36,48,47
11,16,26,42,43,48,32
7,18,28,29,37,49,12
6,8,12,29,32,40,45
13,33,37,40,41,47,48
9,27,32,38,39,43,31
13,14,32,40,43,48,12
1,16,26,31,35,36,38
1,2,20,34,35,43,37
10,18,22,34,36,37,15
1,6,7,8,24,42,22
6,8,12,21,32,43,25
7,9,18,32,48,49,10
6,30,31,37,38,43,24
1,3,13,18,21,35,15
1,6,7,12,36,42,34
3,6,8,13,28,36,38
9,22,37,40,42,48,26
2,16,18,35,48,49,43
11,25,32,33,37,42,31
5,16,17,18,23,27,10
1,30,33,42,44,48,49
2,9,19,30,36,37,41
10,14,17,30,36,45,47
14,23,26,28,36,37,40
12,19,24,27,36,44,29
27,29,30,39,40,42,47
1,5,16,22,30,34,39
19,21,22,34,48,49,42
16,17,27,44,45,47,49
8,16,27,39,40,48,14
8,13,27,39,40,45,49
7,14,27,29,37,49,9
12,13,14,20,23,28,22
22,28,31,36,39,49,32
7,15,17,28,40,41,10
11,14,17,30,42,46,29
1,3,30,33,35,42,12
7,20,24,30,38,41,19
11,12,18,20,27,42,16
3,7,10,21,30,36,14
20,23,27,38,40,47,33
3,4,16,19,32,45,14
15,17,18,21,28,37,40
1,5,11,22,32,45,28
14,21,23,30,33,37,10
1,12,26,27,36,49,21
6,24,30,43,44,45,11
11,15,24,25,26,33,42
12,27,30,31,34,48,17
5,17,21,27,31,41,6
7,12,20,33,43,44,38
7,17,27,29,30,34,36
4,6,20,35,37,39,41
4,16,24,26,32,39,6
18,19,33,43,45,48,11
4,12,14,22,46,48,23
3,13,15,39,43,44,31
8,21,29,31,38,42,23
9,21,28,30,34,44,10
17,19,21,35,40,49,42
10,15,16,21,25,38,24
6,26,30,34,40,43,3
3,11,12,13,26,28,31
7,15,23,30,34,41,10
7,9,22,38,39,49,48
7,9,12,13,16,33,37
2,5,12,21,30,31,6
2,13,17,33,38,42,5
7,18,19,25,42,45,41
17,20,28,34,38,47,14
5,9,35,38,43,48,6
2,15,28,30,37,41,31
1,10,12,16,43,45,13
2,20,36,45,48,49,21
1,24,25,32,34,39,10
6,11,14,26,46,47,40
3,19,22,25,31,48,12
3,9,31,36,37,45,19
4,28,36,43,46,49,40
16,25,26,42,44,48,20
6,10,13,24,31,46,25
3,9,10,27,31,36,26
2,9,18,19,28,33,35
3,6,7,15,26,35,40
15,20,31,34,37,48,4
5,7,13,19,35,46,24
9,13,21,28,33,46,6
5,13,18,20,21,26,11
9,10,14,16,25,49,23
16,24,27,30,42,46,17
5,6,11,25,35,40,44
10,30,38,42,45,49,27
3,6,10,14,40,42,15
4,5,6,8,20,38,35
11,18,32,36,39,43,34
1,16,36,41,42,44,18
6,22,25,39,41,49,13
2,16,20,32,35,41,24
2,18,28,42,45,49,17
8,13,16,42,45,47,33
5,8,27,28,33,46,2
11,13,16,19,25,32,26
2,8,20,21,40,41,24
9,21,36,38,43,49,23
2,19,20,33,37,48,10
9,18,23,33,44,49,29
2,12,14,38,39,43,48
6,9,13,21,46,47,12
2,5,10,14,29,37,3
2,10,13,22,24,25,5
2,9,10,13,15,24,19
1,9,21,35,36,47,33
2,22,25,30,44,48,46
2,6,27,44,45,49,23
3,6,8,11,28,31,19
3,7,8,24,42,49,37
4,8,17,39,47,48,1
2,10,16,35,37,45,26
2,5,25,31,40,43,22
3,7,12,25,33,35,30
13,16,21,30,36,37,2
2,8,22,36,38,40,5
12,13,30,36,39,47,8
3,9,27,31,38,45,34
2,3,13,14,17,38,31
4,9,22,30,33,35,13
11,15,19,29,42,49,5
12,17,33,43,45,47,10
9,10,22,23,28,36,49
3,5,14,40,46,49,6
1,5,24,25,35,49,14
10,15,25,29,34,37,13
11,12,17,22,31,43,45
11,16,17,19,24,43,13
17,22,23,26,28,46,2
12,33,39,43,45,49,10
1,11,18,22,23,42,10
5,6,10,16,20,21,19
16,18,23,31,34,47,38
3,14,17,32,39,42,8
7,12,18,33,44,45,32
2,14,16,23,35,38,47
4,11,14,20,36,41,15
7,9,10,21,39,49,41
9,20,21,22,30,48,6
2,8,16,25,33,37,1
4,16,22,27,32,36,17
1,23,25,30,32,46,42
15,25,33,38,40,49,21
2,21,29,38,44,48,10
11,22,29,31,32,42,3
6,15,18,25,26,47,27
5,7,15,35,36,44,4
2,5,7,18,22,48,11
11,18,22,29,40,48,44
3,13,27,29,36,37,24
10,11,18,26,41,48,27
4,20,32,39,40,42,33
4,17,20,33,39,43,26
5,13,14,33,45,46,25
25,35,39,42,43,49,5
6,12,14,25,27,30,8
7,8,15,22,35,49,17
8,13,15,28,29,48,3
5,14,26,30,31,42,4
5,6,17,35,39,49,44
10,17,18,34,48,49,29
6,7,18,22,30,34,2
6,10,16,21,23,39,5
4,22,24,30,31,34,17
6,9,13,21,41,43,45
2,4,23,32,43,45,42
4,9,17,26,40,46,18
1,3,20,23,33,37,14
5,13,20,25,29,39,35
1,3,14,26,36,47,42
3,8,13,17,22,29,18
2,19,24,39,41,49,21
1,11,21,27,37,48,18
9,13,32,38,48,49,41
9,11,23,29,33,38,6
9,13,22,35,38,39,4
5,21,33,34,44,45,40
1,7,19,27,38,47,3
21,25,33,36,42,48,13
11,14,20,24,25,35,33
1,17,20,28,35,43,18
1,6,14,19,26,30,17
2,4,12,13,19,42,39
4,5,21,26,37,47,7
3,5,8,14,27,35,9
22,24,28,33,34,42,48
16,26,29,39,41,46,34
1,4,19,33,34,40,25
8,10,13,14,31,48,47
9,15,20,23,39,41,44
7,11,18,34,35,48,42
4,14,19,21,24,48,10
2,18,30,34,37,41,28
8,10,11,24,31,37,38
2,5,13,19,40,49,7
3,12,26,30,39,41,25
9,25,30,31,35,37,1
6,10,22,30,43,44,29
14,15,18,20,38,42,35
3,14,17,41,46,47,20
24,34,35,38,41,47,45
8,9,16,24,29,48,5
9,11,15,25,44,48,27
23,26,27,29,30,45,18
2,9,16,25,36,38,14
13,18,24,26,44,45,27
3,16,25,37,38,45,18
1,4,5,8,13,43,22
12,23,25,31,44,45,3
2,3,15,30,32,46,23
4,9,10,14,15,49,5
23,24,26,30,47,49,43
1,13,21,22,24,40,27
7,8,12,37,41,48,40
3,10,13,35,48,49,33
3,11,13,20,38,49,19
1,3,10,31,34,35,27
2,7,11,31,40,43,36
9,11,21,22,24,41,33
4,9,17,18,31,43,19
6,10,19,20,22,36,3
8,18,19,23,24,42,32
9,16,19,20,30,43,44
1,4,15,22,40,44,2
12,14,19,27,34,43,24
1,6,14,22,33,47,9
2,9,22,32,35,41,20
3,9,16,31,36,42,20
1,2,3,7,14,15,11
9,10,27,32,37,45,4
10,32,33,38,41,47,6
16,22,27,30,39,41,40
18,22,23,27,28,43,35
6,14,28,31,33,35,26
1,7,20,34,40,45,22
24,26,28,31,44,47,17
11,13,25,29,38,47,12
1,12,19,29,32,34,46
15,24,25,27,36,37,35
5,21,25,36,38,39,4
1,10,26,28,38,42,43
5,10,22,38,44,46,13
17,23,24,25,26,38,47
10,14,23,25,27,40,37
13,18,22,31,34,37,19
18,31,35,39,40,43,10
7,15,24,31,36,49,40
10,12,14,28,42,46,37
3,12,16,22,29,34,30
7,22,32,34,42,43,6
12,15,26,30,41,45,4
3,6,13,29,39,49,9
5,12,15,24,40,41,44
19,34,39,40,41,45,23
3,4,5,20,23,37,38
2,12,17,19,30,33,23
1,3,10,15,21,28,37
26,32,36,42,43,45,44
3,7,18,20,26,32,10
4,8,16,22,23,43,18
1,6,13,30,33,43,9
4,27,33,37,42,49,36
7,12,13,25,39,48,9
1,13,14,19,21,30,40
9,19,20,30,39,40,10
2,11,30,42,48,49,36
1,7,14,15,22,45,24
1,5,14,22,29,43,20
6,10,19,24,28,47,22
1,7,8,30,34,37,41
2,24,26,29,32,33,6
6,8,11,28,42,46,31
2,9,12,16,37,40,19
11,14,27,28,38,44,12
9,11,20,22,29,38,37
13,28,32,39,44,49,48
5,21,26,30,36,41,17
18,28,34,44,45,47,8
7,11,14,35,38,43,26
8,12,25,29,39,45,44
10,16,21,30,33,48,19
1,22,34,35,36,47,7
9,27,29,38,39,40,47
1,14,28,41,45,47,29
15,20,38,41,44,46,34
11,23,31,32,33,40,49
23,26,35,36,39,43,5
1,7,14,23,45,48,43
7,12,15,27,29,49,36
18,22,24,25,26,43,23
5,17,23,28,31,32,18
2,3,32,46,47,48,35
3,13,18,27,33,45,29
2,3,13,17,19,36,47
10,12,21,26,27,49,14
18,21,32,33,36,37,6
4,5,33,36,48,49,2
4,5,17,39,40,42,3
5,6,7,18,27,35,19
4,15,16,22,24,45,2
2,6,17,33,42,45,13
3,5,7,18,40,45,15
17,34,36,41,46,48,26
2,9,29,31,42,49,5
5,9,16,29,36,47,17
12,17,24,35,44,46,10
2,23,29,34,35,37,41
1,19,21,31,43,47,18
10,16,23,34,38,41,5
2,6,16,20,23,24,19
6,13,15,26,30,33,16
10,13,22,27,32,39,43
9,20,23,34,35,45,15
1,8,9,10,34,36,17
1,30,34,42,45,46,8
2,6,10,13,30,33,40
1,7,9,16,21,49,12
1,4,5,13,14,19,18
4,13,30,42,47,48,40
4,26,30,35,45,46,20
14,34,37,40,48,49,30
27,29,31,36,39,43,23
3,11,14,21,40,45,8
8,18,22,34,48,49,33
3,25,27,28,43,45,42
10,17,19,27,37,38,26
8,18,21,23,30,47,10
2,13,18,26,28,43,41
12,15,18,23,35,38,33
10,20,24,28,32,49,9
1,8,11,14,16,45,41
9,10,16,19,32,45,18
7,10,20,30,34,46,19
1,2,4,11,12,23,6
5,15,22,30,42,49,37
7,9,15,18,32,43,8
3,13,20,34,37,40,11
1,22,33,40,43,48,35
3,11,22,25,27,33,21
5,11,14,20,22,41,33
12,26,27,28,32,46,47
2,32,40,41,43,45,30
8,12,14,17,23,25,10
5,8,15,25,33,48,11
4,8,14,22,41,48,39
3,16,17,34,46,48,41
1,6,13,28,35,44,30
7,28,33,35,42,44,41
5,8,13,17,26,41,22
12,28,29,30,44,48,34
3,18,24,26,42,43,16
9,11,15,29,35,44,18
5,22,29,33,36,40,32
3,16,20,36,41,49,45
5,9,10,22,26,38,39
6,8,22,39,40,47,17
1,4,17,22,27,28,15
5,9,16,32,35,42,4
1,5,9,19,35,45,30
5,8,9,27,31,35,15
6,10,21,23,35,36,8
7,18,30,35,36,49,29
6,10,19,32,41,49,5
3,7,16,26,31,35,18
10,11,14,34,40,49,43
3,10,12,32,35,44,41
8,14,20,34,36,49,46
10,13,18,21,31,48,17
2,21,22,34,36,38,45
11,22,38,41,42,45,20
