@relation markSix

@attribute A1 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}			
@attribute A2 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A3 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A4 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A5 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A7 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	

@data
2,4,22,27,28,44,12
3,13,18,21,30,35,22
2,21,25,28,32,43,33
6,17,33,37,38,44,4
2,8,13,22,42,44,41
11,21,27,36,42,45,7
3,15,32,34,35,37,41
4,9,10,15,37,44,38
7,14,19,26,28,34,45
8,17,32,35,39,44,27
3,7,10,15,27,42,23
2,3,4,7,34,43,11
1,3,14,18,23,25,29
1,2,5,12,24,45,19
4,16,21,37,39,43,40
14,20,33,34,36,44,10
4,7,9,16,18,24,13
14,20,24,36,38,44,42
15,20,27,37,40,41,39
8,16,18,21,23,32,33
9,10,21,24,27,41,23
4,8,15,22,24,29,26
16,19,29,30,36,37,10
1,2,13,15,30,31,37
9,14,19,23,41,44,18
5,6,15,16,17,40,30
4,7,8,21,23,24,30
13,30,35,36,40,45,34
2,10,15,19,43,44,11
8,26,27,37,39,45,34
3,9,14,22,34,44,40
2,15,22,23,24,36,16
10,15,18,19,20,23,26
6,19,22,35,37,40,45
1,6,7,17,37,42,5
5,6,28,31,35,42,36
12,36,38,41,44,45,1
5,7,8,10,20,42,38
16,18,20,21,22,35,23
1,18,20,27,31,37,19
1,23,24,29,31,38,25
19,25,28,34,39,42,33
8,18,34,35,37,39,4
2,11,14,16,23,27,28
6,14,16,19,28,31,7
4,8,10,13,31,39,14
2,17,22,25,36,45,39
11,12,18,26,27,40,20
4,19,26,30,33,39,22
6,14,29,33,35,39,34
8,19,26,28,29,40,43
1,5,14,17,37,45,24
12,19,27,29,31,35,1
8,10,23,31,39,44,17
1,8,15,31,34,35,9
2,14,23,26,34,38,43
3,16,17,25,27,31,43
2,4,12,18,30,39,44
2,14,16,33,36,37,12
15,18,34,36,40,43,19
1,7,10,13,34,38,12
7,14,19,25,33,43,44
1,16,17,19,21,36,41
2,9,14,20,21,30,45
4,9,21,23,25,45,42
3,5,8,22,25,28,15
5,10,16,25,33,34,6
1,16,26,28,39,41,37
5,17,18,36,37,40,42
5,24,35,39,41,42,45
1,11,28,29,33,42,9
5,6,12,13,28,35,20
13,19,27,30,33,40,38
5,6,17,20,25,34,44
4,6,13,21,24,26,31
8,16,31,35,36,44,25
1,16,17,28,29,40,31
12,13,31,33,36,39,14
2,6,10,21,27,37,13
6,8,9,10,30,36,40
4,7,24,29,31,32,42
8,12,22,32,37,42,14
2,17,26,34,36,42,20
6,22,26,28,33,41,25
2,3,17,20,25,43,1
11,23,24,32,33,38,26
5,6,14,19,23,32,41
8,12,16,19,24,40,23
12,32,34,40,41,43,29
8,10,21,23,32,33,34
10,13,19,23,36,40,1
8,16,23,28,30,41,17
14,23,32,35,39,44,20
15,25,28,31,36,40,18
4,12,14,21,31,34,7
11,13,17,19,22,26,40
13,19,25,36,41,44,39
7,16,18,20,34,35,38
10,12,20,22,42,45,29
1,4,7,25,29,40,26
5,7,11,15,28,35,23
5,15,38,39,40,43,23
25,34,37,43,44,45,24
11,13,22,26,29,34,20
9,23,25,29,31,41,45
2,15,18,24,34,37,42
17,20,24,25,32,43,1
7,16,21,25,35,42,8
3,12,17,28,29,43,8
7,14,19,21,33,38,18
13,14,17,21,29,31,35
5,9,13,23,36,40,3
1,26,31,40,41,43,28
3,4,14,25,33,42,1
1,7,10,14,27,40,45
6,7,15,20,26,44,42
1,11,15,24,33,43,14
5,9,16,18,20,35,46
3,14,20,24,26,40,44
5,16,22,27,31,46,47
7,8,9,13,15,17,4
2,7,11,15,16,25,40
4,8,21,24,33,37,19
5,6,19,30,36,44,43
8,14,28,33,41,43,42
10,12,15,25,27,38,11
3,6,13,15,32,44,40
6,7,21,23,24,32,12
9,11,26,37,45,46,13
16,17,22,30,36,41,39
8,24,36,39,44,45,12
2,26,33,40,43,45,46
2,6,20,42,46,47,5
7,21,30,31,43,45,12
4,6,18,20,22,44,46
14,21,36,39,46,47,16
7,9,10,31,43,45,30
13,26,28,35,36,38,39
2,3,5,17,32,42,39
1,10,19,27,36,37,21
1,16,22,25,26,47,5
4,6,19,40,43,46,47
5,19,22,33,34,42,12
6,10,28,29,38,43,13
7,17,23,24,30,32,11
5,11,12,36,40,42,31
8,10,14,17,27,45,9
9,23,26,30,31,40,13
2,22,25,30,36,37,14
12,24,27,28,30,33,5
3,12,16,20,22,25,38
3,4,5,8,10,15,18
4,14,26,33,37,38,1
14,19,21,30,44,46,34
20,27,29,30,37,38,34
5,9,12,22,26,36,2
2,18,26,32,33,36,40
3,9,10,17,42,43,16
3,14,17,24,35,45,7
15,16,17,23,24,26,7
10,20,29,32,33,47,31
4,20,23,31,35,45,22
9,11,14,18,23,29,46
4,12,18,27,30,32,31
1,2,26,39,40,46,7
6,7,8,29,42,47,34
3,5,23,29,39,41,13
8,9,10,15,44,46,16
2,5,11,15,32,37,41
9,14,15,21,24,40,46
22,25,33,35,46,47,5
9,11,14,20,40,43,45
2,4,9,16,37,47,24
11,19,23,29,37,45,7
2,25,28,30,40,41,31
11,14,22,23,25,36,6
9,12,21,25,30,43,26
1,4,15,16,20,40,30
4,8,12,13,34,47,14
5,12,14,27,33,37,11
12,14,20,29,36,41,10
2,28,39,44,45,46,3
2,12,16,37,38,42,22
12,17,26,27,33,45,44
9,14,20,24,29,44,33
2,5,13,38,39,42,8
16,26,28,30,33,38,47
20,24,28,29,32,34,4
4,8,9,36,39,41,7
9,14,16,24,29,35,17
1,5,14,27,29,39,44
2,11,25,26,30,34,37
8,10,14,27,28,29,17
29,34,37,39,40,43,32
2,29,35,40,41,46,45
15,24,26,28,32,44,11
1,22,23,39,45,46,26
6,9,15,21,28,43,17
3,8,9,21,34,36,12
7,21,23,26,32,34,3
1,9,16,18,36,40,6
7,19,21,24,32,39,46
4,15,17,19,29,39,33
10,16,21,22,31,47,12
